ID,Number,Type,Titles
10016,1,question,"['Qubit', 'Quantum computing']"
10016,1,answer,"['Many-worlds interpretation', 'Schrödinger equation', 'Quantum mechanics', 'Microtubule', 'Measurement problem']"
10016,2,question,"['Shadows of the Mind', '""The Emperor\'s New Mind""', 'Fashion', 'Faith']"
10016,2,answer,"['""The Emperors New Clothes""', 'Allegory of the cave', 'Fashion', 'Faith', 'and Fantasy in the New Physics of the Universe', 'The Road to Reality']"
10016,4,question,"['Beauty', 'Music']"
10016,4,answer,"['Computer music', 'Judgement', 'Aesthetics']"
10016,5,question,"['Utility', 'Philosophy of science']"
10016,5,answer,"['Theoretical physics', 'Paul Dirac', 'Mathematical beauty']"
10016,6,question,"['General relativity', 'Cyclic model']"
10016,6,answer,"['Riemannian geometry', 'Leaning Tower of Pisa', 'Isaac Newton', 'Bernhard Riemann', 'Galileo Galilei']"
10020,1,question,"['Biopolymer', 'Building material']"
10020,1,answer,"['Polyethylene', 'Lignin', 'Polypropylene', 'Polyvinyl chloride', 'Polylactic acid', 'Polyethylene terephthalate', 'Aromatic compound']"
10020,2,question,"['Carbon dioxide', 'Methane']"
10020,2,answer,"['Electric car', 'Energy density', 'Renewable energy', 'Boeing 787 Dreamliner']"
10020,3,question,"['Homogeneous catalysis', 'Heterogeneous catalysis']"
10020,3,answer,"['Polymer', 'Enzyme', 'Catalysis']"
10020,5,question,"['Seawater', 'Carbonic acid', 'Carbon dioxide']"
10020,5,answer,"['Ocean acidification', 'Wastewater treatment', 'Catalysis', 'Cholera', 'PH', 'Legislation', 'Vacuum cleaner', 'Economics', 'Sea level rise', 'Microplastics']"
10020,6,question,"['Carbon dioxide', 'Polymer', 'Catalysis']"
10020,6,answer,"['Biopolymer', 'Photosynthesis', 'Wright brothers', 'Circular economy']"
10020,7,question,['Platinum']
10020,7,answer,"['Fuel cell', 'Noble metal', 'Catalysis', 'Iron']"
10020,8,question,"['Imaging', 'Catalysis']"
10020,8,answer,"['Diamond Light Source', 'Operando spectroscopy', 'Microscopy', 'Spatial resolution', 'Temporal resolution']"
10020,9,question,"['Oil', 'Plastic']"
10020,9,answer,"['Paris Agreement', 'Climate change', 'Coal', 'Natural gas', 'Pyrolysis', 'Pyrolysis oil']"
10020,10,question,"['Platinum', 'Catalysis']"
10020,10,answer,"['Oxide', 'Recycling', 'Catalytic converter']"
10025,1,question,"['Data and information visualization', 'Statistician']"
10025,1,answer,"['Ethics', 'Humanism', 'Bias']"
10025,2,question,"['Data and information visualization', 'Communication']"
10025,2,answer,"['List of accidents and disasters by death toll', 'War']"
10025,3,question,"['Data and information visualization', 'Fake news']"
10025,3,answer,"['The Economist', 'Data literacy', 'Visual literacy']"
10025,4,question,"['Moiré pattern', 'Color blindness']"
10025,4,answer,"['Data and information visualization', 'Screen reader', 'Assistive Technology']"
10025,5,question,"['Data and information visualization', 'Visual impairment']"
10025,5,answer,"['Soundscape', 'Change data capture']"
10025,6,question,"['Data and information visualization', 'Target audience']"
10025,6,answer,['Bar chart']
10025,7,question,"['Data and information visualization', 'Nature']"
10025,7,answer,"['Visual rhetoric', 'Poppy', 'Semiotics', 'Taraxacum']"
10025,10,question,['Visualization']
10025,10,answer,"['List of extreme temperatures in Spain', 'Tableau', 'RAWGraphs', 'Adobe Illustrator']"
10025,11,question,['Machine learning']
10025,11,answer,"['Big data', 'Artificial intelligence', 'Ethics of artificial intelligence', 'Algorithmic bias']"
10025,12,question,['Data and information visualization']
10025,12,answer,"['Factfulness', 'The Washington Post', 'Mona Chalabi', 'Fernanda Viégas', 'The New York Times', 'Financial Times', 'Isotype', 'Hans Rosling', 'William Gordon Burn Murdoch', 'Many eyes']"
